BARCODE	BRAND	DESCRIP	TYPE	SIZE	PRICE_C	QTY_ON_HND
9048	KRUG	GRAND CUVEE	WINE-CHAMPAGNE	750ML	204.69	
3.25806E+12	KRUG	GRAND CUVEE	WINE-CHAMPAGNE	750ML	204.69	
08175319086	KRUG	GRAND CUVEE	WINE-CHAMPAGNE	750ML	204.69	
32580612101	KRUG	GRAND CUVEE	WINE-CHAMPAGNE	750ML	204.69	
08175380236	KRUG	GRAND CUVEE	WINE-CHAMPAGNE	750ML	204.69	
08175380237	KRUG	GRAND CUVEE	WINE-CHAMPAGNE	750ML	204.69	
3.25806E+12	KRUG	GRAND CUVEE	WINE-CHAMPAGNE	750ML	204.69	
08700000625	GLENLIVET	18 YR - SINGLE MALT	WHIS-SCOTCH	750ML	170.19	2
S01207	GLENLIVET	18 YR - SINGLE MALT	WHIS-SCOTCH	750ML	170.19	2
S96712	GLENLIVET	18 YR - SINGLE MALT	WHIS-SCOTCH	750ML	170.19	2
08043240066	GLENLIVET	18 YR - SINGLE MALT	WHIS-SCOTCH	750ML	170.19	2
S1207	GLENLIVET	18 YR - SINGLE MALT	WHIS-SCOTCH	750ML	170.19	2
08676750012	GOLDSCHLAGER	SCHNAPPS	CORDIALS-IMPORTED	50ML	3.44	
S26105	GOLDSCHLAGER	SCHNAPPS	CORDIALS-IMPORTED	50ML	3.44	
08144000072	STOLICHNAYA	VODKA	VODKA-IMPORTED	1.75L	33.34	1
08954043656	STOLICHNAYA	VODKA	VODKA-IMPORTED	1.75L	33.34	1
08954049987	STOLICHNAYA	VODKA	VODKA-IMPORTED	1.75L	33.34	1
08366487114	STOLICHNAYA	VODKA	VODKA-IMPORTED	1.75L	33.34	1
08366487174	STOLICHNAYA	VODKA	VODKA-IMPORTED	1.75L	33.34	1
81175102004	STOLICHNAYA	VODKA	VODKA-IMPORTED	1.75L	33.34	1
81175102313	STOLICHNAYA	VODKA	VODKA-IMPORTED	1.75L	33.34	1
81175102367	STOLICHNAYA	VODKA	VODKA-IMPORTED	1.75L	33.34	1
83522900060	ABSOLUT 80	VODKA	VODKA-IMPORTED	1.75L	39.09	90
08043200155	ABSOLUT 80	VODKA	VODKA-IMPORTED	1.75L	39.09	90
08043200076	ABSOLUT 80	VODKA	VODKA-IMPORTED	1.75L	39.09	90
08832015200	ALTO DEL CARMEN	PISCO	AGUARDIENTE	750ML	22.99	12
S30209	ALTO DEL CARMEN	PISCO	AGUARDIENTE	750ML	22.99	12
08832015201	CAPEL PREMIUM	PISCO	AGUARDIENTE	750ML	22.99	4
08832015203	CAPEL PREMIUM	PISCO	AGUARDIENTE	750ML	22.99	4
3.01657E+12	TAITTINGER BRUT	CHAMPAGNE	WINE-CHAMPAGNE	750ML	51.74	
N276854	TAITTINGER BRUT	CHAMPAGNE	WINE-CHAMPAGNE	750ML	51.74	
08469250174	TAITTINGER BRUT	CHAMPAGNE	WINE-CHAMPAGNE	750ML	51.74	
08469250164	TAITTINGER BRUT	CHAMPAGNE	WINE-CHAMPAGNE	750ML	51.74	
850052	SUTTER HOME	CABERNET SAUVIGNON	WINE-CAL CABERNET SAVIGNON	187ML	8.61	
S78883	SUTTER HOME	CABERNET SAUVIGNON	WINE-CAL CABERNET SAVIGNON	187ML	8.61	
08520051874	SUTTER HOME	CABERNET SAUVIGNON	WINE-CAL CABERNET SAVIGNON	187ML	8.61	
0850062	SUTTER HOME	CABERNET SAUVIGNON	WINE-CAL CABERNET SAVIGNON	187ML	8.61	
0850072	SUTTER HOME	CABERNET SAUVIGNON	WINE-CAL CABERNET SAVIGNON	187ML	8.61	
850062	SUTTER HOME	CHARDONNAY	WINE-CAL CHARDONNAY	187ML	8.61	
S85937	SUTTER HOME	CHARDONNAY	WINE-CAL CHARDONNAY	187ML	8.61	
08520061874	SUTTER HOME	CHARDONNAY	WINE-CAL CHARDONNAY	187ML	8.61	
850092	SUTTER HOME	W.ZINFANDEL	WINE-CAL WHITE ZINFANDEL	187ML	8.61	
S78885	SUTTER HOME	W.ZINFANDEL	WINE-CAL WHITE ZINFANDEL	187ML	8.61	
08520091874	SUTTER HOME	W.ZINFANDEL	WINE-CAL WHITE ZINFANDEL	187ML	8.61	
08175305020	VEUVE CLICQUOT	CHAMPAGNE BRUT	SPARK WINE-IMPORTED	750ML	74.74	15
3.04961E+12	VEUVE CLICQUOT	CHAMPAGNE BRUT	SPARK WINE-IMPORTED	750ML	74.74	15
3.04961E+12	VEUVE CLICQUOT	CHAMPAGNE BRUT	SPARK WINE-IMPORTED	750ML	74.74	15
08175381475	VEUVE CLICQUOT	CHAMPAGNE BRUT	SPARK WINE-IMPORTED	750ML	74.74	15
08175382388	VEUVE CLICQUOT	CHAMPAGNE BRUT	SPARK WINE-IMPORTED	750ML	74.74	15
3.04961E+12	VEUVE CLICQUOT	CHAMPAGNE BRUT	SPARK WINE-IMPORTED	750ML	74.74	15
08175382487	VEUVE CLICQUOT	CHAMPAGNE BRUT	SPARK WINE-IMPORTED	750ML	74.74	15
850022	SUTTER HOME	MERLOT	WINE-CAL MERLOT	187ml	8.61	
08520021874	SUTTER HOME	MERLOT	WINE-CAL MERLOT	187ml	8.61	
S33307	SUTTER HOME	MERLOT	WINE-CAL MERLOT	187ml	8.61	
871740	ABSOLUT 80	VODKA	VODKA-IMPORTED	200ML	9.19	13
S00675	ABSOLUT 80	VODKA	VODKA-IMPORTED	200ML	9.19	13
S675	ABSOLUT 80	VODKA	VODKA-IMPORTED	200ML	9.19	13
83522900010	ABSOLUT 80	VODKA	VODKA-IMPORTED	200ML	9.19	13
08366410139	GRANT'S	SCOTCH	WHIS-SCOTCH	750ML	16.09	9
5.01033E+12	GRANT'S	SCOTCH	WHIS-SCOTCH	750ML	16.09	9
N66094	GRANT'S	SCOTCH	WHIS-SCOTCH	750ML	16.09	9
08800402614	FRIS	VODKA	VODKA-IMPORTED	1.75M	19.54	7
25.9990175	SKYY	VODKA	VODKA-IMPORTED	1.75L	29.89	7
72105901750	SKYY	VODKA	VODKA-IMPORTED	1.75L	29.89	7
08366411221	BALVENIE DOUBLEWOOD	12 YR - SINGLE MALT	WHIS-SCOTCH	750ML	86.24	1
N66344	BALVENIE DOUBLEWOOD	12 YR - SINGLE MALT	WHIS-SCOTCH	750ML	86.24	1
08366411223	BALVENIE SHERRY CASK	15 YR - SINGLE MALT	WHIS-SCOTCH	750ML	149.49	
N66354	BALVENIE SHERRY CASK	15 YR - SINGLE MALT	WHIS-SCOTCH	750ML	149.49	
08366487319	BALVENIE SHERRY CASK	15 YR - SINGLE MALT	WHIS-SCOTCH	750ML	149.49	
877310	SEAGRAM'S GIN	EXTRA DRY	GIN-AMERICAN	200ML	5.74	10
S10304	SEAGRAM'S GIN	EXTRA DRY	GIN-AMERICAN	200ML	5.74	10
08043240121	SEAGRAM'S GIN	EXTRA DRY	GIN-AMERICAN	200ML	5.74	10
